model,accuracy,precision,recall,f1,roc_auc
DistilBERT,0.9688149688149689,0.969214309295281,0.9688149688149689,0.9688093067753718,0.9904564315352697
TinyBERT,0.8690228690228691,0.8744371057167265,0.8690228690228691,0.8685284248264535,0.9569674965421853
MobileBERT,0.9542619542619543,0.9558013465353393,0.9542619542619543,0.9542203986859947,0.984560857538036
ELECTRA,0.9293139293139293,0.9297943189677925,0.9293139293139293,0.9292968164103255,0.9808609958506224
MiniLMv2,0.9085239085239085,0.9086401037013198,0.9085239085239085,0.9085191637492893,0.9746369294605809
Ensemble_Top2,0.9688149688149689,0.9688233437714765,0.9688149688149689,0.9688149688149689,0.9907503457814661
